title:,ID,title,description,icon,group,category,width,height
use:,id,name,description,attribute,back,category,width,height
description:,,,,without dir or type,,,,
export:,Y,Y,Y,Y,Y,Y,,
default:,,,,,,,59,88
card:,Databox_Data_Bank,Bank records,"Your financial transactions, including each time you bought something with a credit or debit card.",bank-transaction,Data,Data,,
card:,Databox_Data_Phone,Phone calls,"Each phone call you have made, including when you made the call, how long it was and the number you called.",phone-call,Data,Data,,
card:,Databox_Data_Emails,Emails,"The emails you have sent and received, including when you sent them, who they were sent to and the text of the message.",email,Data,Data,,
card:,Databox_Data_Socialmedia,Social media,The posts and comments you have made on social media such as Facebook.,social-media,Data,Data,,
card:,Databox_Data_Photos,Photos,"The photos you have taken, especially when these are uploaded to cloud storage or posted on social media.",photo,Data,Data,,
card:,Databox_Data_Sleep,Sleep,"How long you have slept for and at what times, and an estimate of quality of that sleep.",sleep,Data,Data,,
card:,Databox_Data_Weight,Weight,You weight as measured by bathroom scales.,bathroom-scale,Data,Data,,
card:,Databox_Data_Meals,Meals and diet,What you have eaten and when.,meal,Data,Data,,
card:,Databox_Data_Mood,Mood self-report,Your mood in response to a simple prompt or question.,mood,Data,Data,,
card:,Databox_Data_Location,Location,Journeys you have made and places that you have spent time (where and when).,location,Data,Data,,
card:,Databox_Data_Web,Web activity,The web sites you have looked at and web searches you have done.,web,Data,Data,,
card:,Databox_Data_Media,Media consumption,The music you have listened to the videos/TV you have watched.,tv,Data,Data,,
card:,Databox_Data_Ehealth,E-Health Record,"Your electronic medical records, including alergies, current mediation, symptoms, test results and diagnoses.",medical-record,Data,Data,,
card:,back:Data,Data,,,,Data,,
card:,Databox_Device_Phone,Phone,Your smart phone and the apps installed on it.,phone,Device,Device,,
card:,Databox_Device_ActivityTracker,Activity tracker,"Your activity tracker, such as a fitbit or smart watch.",activity-tracker,Device,Device,,
card:,Databox_Device_Databox,Databox,"A databox device installed and running in your home, rather like a home access point for data.",router,Device,Device,,
card:,Databox_Device_Server,Server,A computer owned and managed by someone else that runs programs and services for you.,server,Device,Device,,
card:,Databox_Device_ThirdPartyService,Third-party service,"An application, service or web site run by some else that you use, e.g. Facebook, Fitbit, Spotify, Google.",cloud-service,Device,Device,,
card:,back:Device,Device,,,,,,
card:,Databox_Person_You,You,This is you!,person,Person,Person,,
card:,Databox_Person_Family,Family member,Someone else in your family.,family,Person,Person,,
card:,Databox_Person_Colleague,Colleague,Someone you work with.,colleague,Person,Person,,
card:,Databox_Person_Stranger,Stranger,Someone you don't know at all.,stranger,Person,Person,,
card:,Databox_Person_Health,Health professional,"A doctor, nurse, psychiatrist or public health researcher.",doctors,Person,Person,,
card:,back:Person,Person,,,,,,
card:,Databox_Use_Summary,Summary report,A short summary of your data or activity.,summary,Use,Use,,
card:,Databox_Use_Detailed,Detailed report,"A detailed report of your data or activity, including very specific information about individual activities.",report,Use,Use,,
card:,Databox_Use_Complete,Complete data,A complete copy of all of the data that has been collected with nothing missed out.,data-copy,Use,Use,,
card:,Databox_Use_Profiling,Automatic profiling,"A computers recommendation based on your data, for example whether or not you are ""at risk"".",automatic-profile,Use,Use,,
card:,Databox_Use_Alert,Automatic alert,A message sent to another person automatically based on changes in your data.,alert,Use,Use,,
card:,Databox_Use_Population,Population analysis,"A description of a large group of people based on data from lots of people, including you.",population,Use,Use,,
card:,back:Use,Use,,,,,,
